#miRNA	read_count	precursor	total	F01	F02	F03	F01(norm)	F02(norm)	F03(norm)
bta-miR-152	5.00	bta-mir-152	5.00	3.00	1.00	1.00	990.43	285.31	359.58
bta-miR-153	0.00	bta-mir-153-1	0.00	0	0	0	0	0	0
bta-miR-153	0.00	bta-mir-153-2	0.00	0	0	0	0	0	0
bta-miR-154a	0.00	bta-mir-154a	0.00	0	0	0	0	0	0
bta-miR-154b	0.00	bta-mir-154b	0.00	0	0	0	0	0	0
bta-miR-154c	0.00	bta-mir-154c	0.00	0	0	0	0	0	0
bta-miR-155	0.00	bta-mir-155	0.00	0	0	0	0	0	0
bta-miR-1584-5p	0.00	bta-mir-1584	0.00	0	0	0	0	0	0
bta-miR-1584-3p	0.00	bta-mir-1584	0.00	0	0	0	0	0	0
bta-miR-15a	0.00	bta-mir-15a	0.00	0	0	0	0	0	0
bta-miR-15b	5.00	bta-mir-15b	5.00	3.00	1.00	1.00	990.43	285.31	359.58
bta-miR-1603	0.00	bta-mir-1603	0.00	0	0	0	0	0	0
bta-miR-16a	16.00	bta-mir-16a	16.00	7.00	5.00	4.00	2310.99	1426.53	1438.33
bta-miR-16b	26.00	bta-mir-16b	26.00	10.00	8.00	8.00	3301.42	2282.45	2876.66
bta-miR-17-5p	8.00	bta-mir-17	8.00	1.00	3.00	4.00	330.14	855.92	1438.33
bta-miR-17-3p	0.00	bta-mir-17	0.00	0	0	0	0	0	0
bta-miR-1721	0.00	bta-mir-1721	0.00	0	0	0	0	0	0
bta-miR-1777a	0.00	bta-mir-1777a	0.00	0	0	0	0	0	0
bta-miR-1777b	0.00	bta-mir-1777b	0.00	0	0	0	0	0	0
bta-miR-1814a	0.00	bta-mir-1814a	0.00	0	0	0	0	0	0
bta-miR-1814b	0.00	bta-mir-1814b	0.00	0	0	0	0	0	0
bta-miR-1814c	0.00	bta-mir-1814c	0.00	0	0	0	0	0	0
bta-miR-181a	1.00	bta-mir-181a-1	1.00	0	0	1.00	0	0	359.58
bta-miR-181a	1.00	bta-mir-181a-2	1.00	0	0	1.00	0	0	359.58
bta-miR-181b	0.00	bta-mir-181b-1	0.00	0	0	0	0	0	0
bta-miR-181b	0.00	bta-mir-181b-2	0.00	0	0	0	0	0	0
bta-miR-181c	0.00	bta-mir-181c	0.00	0	0	0	0	0	0
bta-miR-181d	1.00	bta-mir-181d	1.00	0	0	1.00	0	0	359.58
bta-miR-182	4.00	bta-mir-182	4.00	0	0	4.00	0	0	1438.33
bta-miR-183	3.00	bta-mir-183	3.00	2.00	1.00	0	660.28	285.31	0
bta-miR-1835	0.00	bta-mir-1835	0.00	0	0	0	0	0	0
bta-miR-1839	16.00	bta-mir-1839	16.00	6.00	5.00	5.00	1980.85	1426.53	1797.91
bta-miR-184	6.00	bta-mir-184	6.00	1.00	2.00	3.00	330.14	570.61	1078.75
bta-miR-1842	0.00	bta-mir-1842	0.00	0	0	0	0	0	0
bta-miR-1843	0.00	bta-mir-1843	0.00	0	0	0	0	0	0
bta-miR-185	0.00	bta-mir-185	0.00	0	0	0	0	0	0
bta-miR-186	73.00	bta-mir-186	73.00	16.00	26.00	31.00	5282.27	7417.97	11147.07
bta-miR-187	0.00	bta-mir-187	0.00	0	0	0	0	0	0
bta-miR-188	0.00	bta-mir-188	0.00	0	0	0	0	0	0
bta-miR-18a	0.00	bta-mir-18a	0.00	0	0	0	0	0	0
bta-miR-18b	0.00	bta-mir-18b	0.00	0	0	0	0	0	0
bta-miR-190a	0.00	bta-mir-190a	0.00	0	0	0	0	0	0
bta-miR-190b	6.00	bta-mir-190b	6.00	3.00	0	3.00	990.43	0	1078.75
bta-miR-191	230.00	bta-mir-191	230.00	63.00	99.00	68.00	20798.94	28245.36	24451.64
bta-miR-192	40.00	bta-mir-192	40.00	11.00	18.00	11.00	3631.56	5135.52	3955.41
bta-miR-193a-5p	0.00	bta-mir-193a	0.00	0	0	0	0	0	0
bta-miR-193a-3p	0.00	bta-mir-193a	0.00	0	0	0	0	0	0
bta-miR-193a	0.00	bta-mir-193a-2	0.00	0	0	0	0	0	0
bta-miR-193b	0.00	bta-mir-193b	0.00	0	0	0	0	0	0
bta-miR-194	2.00	bta-mir-194-1	2.00	0	0	2.00	0	0	719.17
bta-miR-194	2.00	bta-mir-194-2	2.00	0	0	2.00	0	0	719.17
bta-miR-195	1.00	bta-mir-195	1.00	0	1.00	0	0	285.31	0
bta-miR-196a	1.00	bta-mir-196a-1	1.00	0	1.00	0	0	285.31	0
bta-miR-196a	1.00	bta-mir-196a-2	1.00	0	1.00	0	0	285.31	0
bta-miR-196b	0.00	bta-mir-196b	0.00	0	0	0	0	0	0
bta-miR-197	0.00	bta-mir-197	0.00	0	0	0	0	0	0
bta-miR-199a-5p	0.00	bta-mir-199a-1	0.00	0	0	0	0	0	0
bta-miR-199a-3p	0.00	bta-mir-199a-1	0.00	0	0	0	0	0	0
bta-miR-199c	0.00	bta-mir-199a-1	0.00	0	0	0	0	0	0
bta-miR-199a-5p	0.00	bta-mir-199a-2	0.00	0	0	0	0	0	0
bta-miR-199a-3p	0.00	bta-mir-199a-2	0.00	0	0	0	0	0	0
bta-miR-199c	0.00	bta-mir-199a-2	0.00	0	0	0	0	0	0
bta-miR-199a-3p	0.00	bta-mir-199b	0.00	0	0	0	0	0	0
bta-miR-199b	0.00	bta-mir-199b	0.00	0	0	0	0	0	0
bta-miR-199c	0.00	bta-mir-199b	0.00	0	0	0	0	0	0
bta-miR-199c	0.00	bta-mir-199c	0.00	0	0	0	0	0	0
bta-miR-19a	2.00	bta-mir-19a	2.00	0	2.00	0	0	570.61	0
bta-miR-19b	4.00	bta-mir-19b	4.00	1.00	1.00	2.00	330.14	285.31	719.17
bta-miR-19b	4.00	bta-mir-19b-2	4.00	1.00	1.00	2.00	330.14	285.31	719.17
bta-miR-200a	42.00	bta-mir-200a	42.00	14.00	11.00	17.00	4621.99	3138.37	6112.91
bta-miR-200b	16.00	bta-mir-200b	16.00	3.00	7.00	6.00	990.43	1997.15	2157.50
bta-miR-200c	3.00	bta-mir-200c	3.00	1.00	1.00	1.00	330.14	285.31	359.58
bta-miR-202	1.00	bta-mir-202	1.00	0	0	1.00	0	0	359.58
bta-miR-204	128.00	bta-mir-204	128.00	20.00	72.00	36.00	6602.84	20542.08	12944.98
bta-miR-205	0.00	bta-mir-205	0.00	0	0	0	0	0	0
bta-miR-206	0.00	bta-mir-206	0.00	0	0	0	0	0	0
bta-miR-208a	0.00	bta-mir-208a	0.00	0	0	0	0	0	0
bta-miR-208b	0.00	bta-mir-208b	0.00	0	0	0	0	0	0
bta-miR-20a	33.00	bta-mir-20a	33.00	5.00	14.00	14.00	1650.71	3994.29	5034.16
bta-miR-20b	0.00	bta-mir-20b	0.00	0	0	0	0	0	0
bta-miR-21-5p	577.00	bta-mir-21	577.00	172.00	222.00	183.00	56784.42	63338.09	65803.67
bta-miR-21-3p	0.00	bta-mir-21	0.00	0	0	0	0	0	0
bta-miR-210	0.00	bta-mir-210	0.00	0	0	0	0	0	0
bta-miR-211	12.00	bta-mir-211	12.00	2.00	5.00	5.00	660.28	1426.53	1797.91
bta-miR-212	2.00	bta-mir-212	2.00	1.00	0	1.00	330.14	0	359.58
bta-miR-214	0.00	bta-mir-214	0.00	0	0	0	0	0	0
bta-miR-215	0.00	bta-mir-215	0.00	0	0	0	0	0	0
bta-miR-216a	0.00	bta-mir-216a	0.00	0	0	0	0	0	0
bta-miR-216b	4.00	bta-mir-216b	4.00	2.00	2.00	0	660.28	570.61	0
bta-miR-217	0.00	bta-mir-217	0.00	0	0	0	0	0	0
bta-miR-218	0.00	bta-mir-218-1	0.00	0	0	0	0	0	0
bta-miR-218	0.00	bta-mir-218-2	0.00	0	0	0	0	0	0
bta-miR-219-5p	0.00	bta-mir-219-1	0.00	0	0	0	0	0	0
