#miRNA	read_count
bta-miR-376a	0
bta-miR-376b	0
bta-miR-376c	0
bta-miR-376c	0
bta-miR-376d	0
bta-miR-376c	0
bta-miR-376e	0
bta-miR-377	0
bta-miR-378b	0
bta-miR-378d	0
bta-miR-379	0
bta-miR-380-5p	0
bta-miR-380-3p	0
bta-miR-381	0
bta-miR-382	0
bta-miR-383	0
bta-miR-3957	0
bta-miR-409a	0
bta-miR-409b	0
bta-miR-410	0
bta-miR-411b	0
bta-miR-411c-5p	0
bta-miR-411c-3p	0
bta-miR-412	0
bta-miR-421	0
bta-miR-424-5p	0
bta-miR-424-3p	0
bta-miR-425-3p	0
bta-miR-4286	0
bta-miR-4286	0
bta-miR-429	0
bta-miR-431	0
bta-miR-432	0
bta-miR-433	0
bta-miR-4444	0
bta-miR-4449	0
bta-miR-448	0
bta-miR-449b	0
bta-miR-449c	0
bta-miR-449d	0
bta-miR-450a	0
bta-miR-450a	0
bta-miR-452	0
bta-miR-4523	0
bta-miR-453	0
bta-miR-454	0
bta-miR-455-5p	0
bta-miR-455-3p	0
bta-miR-4657	0
bta-miR-4680	0
bta-miR-483	0
bta-miR-484	0
bta-miR-485	0
bta-miR-486	0
bta-miR-487a	0
bta-miR-487b	0
bta-miR-488	0
bta-miR-489	0
bta-miR-490	0
bta-miR-491	0
bta-miR-493	0
bta-miR-494	0
bta-miR-496	0
bta-miR-497	0
bta-miR-499	0
bta-miR-500	0
bta-miR-502a	0
bta-miR-502a	0
bta-miR-502b	0
bta-miR-503-5p	0
bta-miR-503-3p	0
bta-miR-504	0
bta-miR-505	0
bta-miR-539	0
bta-miR-541	0
bta-miR-542-5p	0
bta-miR-544a	0
bta-miR-544b	0
bta-miR-544b	0
bta-miR-545-5p	0
bta-miR-545-3p	0
bta-miR-551a	0
bta-miR-551b	0
bta-miR-562	0
bta-miR-568	0
bta-miR-574	0
bta-miR-582	0
bta-miR-584	0
bta-miR-584	0
bta-miR-584	0
bta-miR-584	0
bta-miR-584	0
bta-miR-584	0
bta-miR-584	0
bta-miR-584	0
bta-miR-592	0
bta-miR-599	0
bta-miR-6119-5p	0
bta-miR-6119-3p	0
bta-miR-6120-5p	0
bta-miR-6121-5p	0
bta-miR-6121-3p	0
bta-miR-6122-5p	0
bta-miR-6122-3p	0
bta-miR-6123	0
bta-miR-615	0
bta-miR-628	0
bta-miR-631	0
bta-miR-6516	0
bta-miR-6517	0
bta-miR-6518	0
bta-miR-6519	0
bta-miR-652	0
bta-miR-6521	0
bta-miR-6523a	0
bta-miR-6523b	0
bta-miR-6525	0
bta-miR-6527	0
bta-miR-6528	0
bta-miR-6529b	0
bta-miR-653	0
bta-miR-6530	0
bta-miR-6531	0
bta-miR-6532	0
bta-miR-6533	0
bta-miR-6534	0
bta-miR-6535	0
bta-miR-6536	0
bta-miR-6536	0
bta-miR-654	0
bta-miR-655	0
bta-miR-656	0
bta-miR-658	0
bta-miR-664a	0
bta-miR-665	0
bta-miR-669	0
bta-miR-670	0
bta-miR-671	0
bta-miR-677	0
bta-miR-708	0
bta-miR-744	0
bta-miR-758	0
bta-miR-759	0
bta-miR-760-5p	0
bta-miR-761	0
bta-miR-763	0
bta-miR-764	0
bta-miR-769	0
bta-miR-7691	0
bta-miR-7857	0
bta-miR-7858	0
bta-miR-7860	0
bta-miR-7861	0
bta-miR-7862	0
bta-miR-7863	0
bta-miR-7864	0
bta-miR-7865	0
bta-miR-8550	0
bta-miR-873	0
bta-miR-874	0
bta-miR-875	0
bta-miR-876	0
bta-miR-877	0
bta-miR-885	0
bta-miR-9-3p	0
bta-miR-9-3p	0
bta-miR-92b	0
bta-miR-935	0
bta-miR-940	0
bta-miR-96	0
bta-miR-98	0
bta-miR-99a-3p	0
