#miRNA	read_count	precursor
bta-miR-2284t-3p	0	bta-mir-2284t
bta-miR-2284u	0	bta-mir-2284u
bta-miR-2284v	0	bta-mir-2284v
bta-miR-2284w	0	bta-mir-2284w
bta-miR-2284x	388	bta-mir-2284x
bta-miR-2284y	388	bta-mir-2284x
bta-miR-2284y	13	bta-mir-2284y-1
bta-miR-2284y	14	bta-mir-2284y-2
bta-miR-2284y	13	bta-mir-2284y-3
bta-miR-2284h-5p	13	bta-mir-2284y-4
bta-miR-2284y	13	bta-mir-2284y-4
bta-miR-2284y	14	bta-mir-2284y-5
bta-miR-2284y	13	bta-mir-2284y-6
bta-miR-2284y	13	bta-mir-2284y-7
bta-miR-2284z	2	bta-mir-2284z-1
bta-miR-2284aa	2	bta-mir-2284z-1
bta-miR-2284z	2	bta-mir-2284z-2
bta-miR-2284aa	2	bta-mir-2284z-2
bta-miR-2284z	0	bta-mir-2284z-3
bta-miR-2284aa	0	bta-mir-2284z-3
bta-miR-2284z	2	bta-mir-2284z-4
bta-miR-2284aa	2	bta-mir-2284z-4
bta-miR-2284z	0	bta-mir-2284z-5
bta-miR-2284aa	0	bta-mir-2284z-5
bta-miR-2284z	0	bta-mir-2284z-6
bta-miR-2284aa	0	bta-mir-2284z-6
bta-miR-2284z	0	bta-mir-2284z-7
bta-miR-2284aa	0	bta-mir-2284z-7
bta-miR-2285a	0	bta-mir-2285a
bta-miR-2285aa	0	bta-mir-2285aa
bta-miR-2285ab	0	bta-mir-2285ab
bta-miR-2285ac	0	bta-mir-2285ac
bta-miR-2285ad	1	bta-mir-2285ad
bta-miR-2285ae	0	bta-mir-2285ae
bta-miR-2285af	0	bta-mir-2285af-1
bta-miR-2285af	0	bta-mir-2285af-2
bta-miR-2285b	6	bta-mir-2285b-1
bta-miR-2285b	6	bta-mir-2285b-2
bta-miR-2285c	0	bta-mir-2285c
bta-miR-2285d	0	bta-mir-2285d
bta-miR-2285e	1	bta-mir-2285e-1
bta-miR-2285e	2	bta-mir-2285e-2
bta-miR-2285f	4	bta-mir-2285f-1
bta-miR-2285f	4	bta-mir-2285f-2
bta-miR-2285g	0	bta-mir-2285g-1
bta-miR-2285g	0	bta-mir-2285g-2
bta-miR-2285g	0	bta-mir-2285g-3
bta-miR-2285h	0	bta-mir-2285h
bta-miR-2285i	0	bta-mir-2285i
bta-miR-2285j	0	bta-mir-2285j-1
bta-miR-2285j	0	bta-mir-2285j-2
bta-miR-2285k	0	bta-mir-2285k-1
bta-miR-2285k	0	bta-mir-2285k-2
bta-miR-2285k	0	bta-mir-2285k-3
bta-miR-2285k	0	bta-mir-2285k-4
bta-miR-2285k	0	bta-mir-2285k-5
bta-miR-2285l	0	bta-mir-2285l
bta-miR-2285m	1	bta-mir-2285m-1
bta-miR-2285m	0	bta-mir-2285m-2
bta-miR-2285m	1	bta-mir-2285m-3
bta-miR-2285m	1	bta-mir-2285m-4
bta-miR-2285m	0	bta-mir-2285m-5
bta-miR-2285n	0	bta-mir-2285n-1
bta-miR-2285n	0	bta-mir-2285n-2
bta-miR-2285n	0	bta-mir-2285n-3
bta-miR-2285n	0	bta-mir-2285n-4
bta-miR-2285n	0	bta-mir-2285n-5
bta-miR-2285n	0	bta-mir-2285n-6
bta-miR-2285n	1	bta-mir-2285n-7
bta-miR-2285o	0	bta-mir-2285o-1
bta-miR-2285o	0	bta-mir-2285o-2
bta-miR-2285o	0	bta-mir-2285o-3
bta-miR-2285u	0	bta-mir-2285o-3
bta-miR-2285o	0	bta-mir-2285o-4
bta-miR-2285o	0	bta-mir-2285o-5
bta-miR-2285p	0	bta-mir-2285p
bta-miR-2285q	1	bta-mir-2285q
bta-miR-2285r	0	bta-mir-2285r
bta-miR-2285s	0	bta-mir-2285s
bta-miR-2285t	0	bta-mir-2285t
bta-miR-2285u	0	bta-mir-2285u
bta-miR-2285v	2	bta-mir-2285v
bta-miR-2285w	0	bta-mir-2285w
bta-miR-2285x	0	bta-mir-2285x
bta-miR-2285y	0	bta-mir-2285y
bta-miR-2285f	2	bta-mir-2285z
bta-miR-2285z	0	bta-mir-2285z
bta-miR-2286	0	bta-mir-2286
bta-miR-2287	0	bta-mir-2287
bta-miR-2288	0	bta-mir-2288
